City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
189,kudahuvadhoo,2.6708,72.8944,26.72,72,78,5.41,MV,1676578545
190,la palma,33.8464,-118.0467,19.1,15,75,4.63,US,1676578545
191,new norfolk,-42.7826,147.0587,16.07,70,74,1.23,AU,1676578546
192,jinchang,38.4953,102.1739,-1.3,66,100,2.7,CN,1676578546
193,bayan,46.0833,127.4,-16.49,98,67,1.7,CN,1676578546
194,olinda,-8.0089,-34.8553,28.85,70,75,3.6,BR,1676578546
195,sennoy,52.1509,46.9631,-10.32,97,100,1.21,RU,1676578546
196,lompoc,34.6391,-120.4579,17.05,24,75,4.63,US,1676578546
197,envira,-7.3,-70.2167,23.43,97,100,2.34,BR,1676578546
198,grand bank,47.0999,-55.765,3.0,99,100,9.41,CA,1676578547
199,wad madani,14.4012,33.5199,21.89,15,0,7.72,SD,1676578547
200,maltahohe,-24.8333,16.9833,20.84,36,0,8.56,NA,1676578547
201,faya,18.3851,42.4509,13.29,83,7,0.93,SA,1676578547
202,bosaso,11.2842,49.1816,23.88,78,11,0.55,SO,1676578547
203,great yarmouth,52.6083,1.7305,10.79,91,100,6.48,GB,1676578547
204,hachinohe,40.5,141.5,-2.57,82,78,4.51,JP,1676578547
205,caravelas,-17.7125,-39.2481,27.63,71,100,4.03,BR,1676578548
206,namibe,-15.1961,12.1522,22.8,84,62,3.74,AO,1676578548
207,celestun,20.8667,-90.4,29.71,52,0,2.0,MX,1676578548
208,natal,-5.795,-35.2094,29.36,79,20,6.17,BR,1676578378
209,port macquarie,-31.4333,152.9167,16.61,90,7,1.78,AU,1676578548
210,honiara,-9.4333,159.95,26.49,87,100,1.8,SB,1676578540
211,esperance,-33.8667,121.9,17.09,76,0,1.09,AU,1676578548
212,vagay,57.9375,69.0217,-21.69,100,63,1.3,RU,1676578549
213,luderitz,-26.6481,15.1594,17.38,94,0,5.59,NA,1676578549
214,sao joao da barra,-21.6403,-41.0511,29.05,90,84,7.43,BR,1676578549
215,svetlaya,46.5389,138.3297,-9.31,71,85,2.09,RU,1676578549
216,pisco,-13.7,-76.2167,26.12,78,0,5.14,PE,1676578549
217,lata,40.1629,-8.3327,11.15,69,2,1.28,PT,1676578549
218,nishihara,26.1842,127.7558,17.6,65,75,4.12,JP,1676578549
219,mitsamiouli,-11.3847,43.2844,27.31,77,99,2.7,KM,1676578549
220,puerto narino,-3.7703,-70.3831,23.97,96,100,1.32,CO,1676578549
221,hasaki,35.7333,140.8333,1.79,58,95,0.8,JP,1676578549
222,kharp,66.8014,65.8081,-7.71,87,100,4.93,RU,1676578550
223,sumbe,-11.2061,13.8437,25.59,82,100,1.95,AO,1676578550
224,college,64.8569,-147.8028,-17.28,78,75,0.0,US,1676578550
225,nikolskoye,59.7035,30.7861,-2.06,91,99,4.68,RU,1676578550
226,iralaya,15.0,-83.2333,27.28,68,0,5.46,HN,1676578550
227,lancaster,40.2504,-76.2499,12.75,92,100,3.6,US,1676578550
228,la ronge,55.1001,-105.2842,-9.86,67,100,6.69,CA,1676578550
229,naze,28.3667,129.4833,13.51,61,26,3.86,JP,1676578550
