City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
123,kavaratti,10.5669,72.642,26.53,73,2,3.46,IN,1676396021
124,bull savanna,17.8868,-77.5902,26.81,55,0,4.65,JM,1676396021
125,college,64.8569,-147.8028,-23.03,77,75,2.06,US,1676396021
126,hvolsvollur,63.7533,-20.2243,3.37,68,100,6.14,IS,1676396021
127,nouakchott,18.0858,-15.9785,21.96,69,100,7.47,MR,1676395963
128,port augusta,-32.5,137.7667,21.16,31,0,2.24,AU,1676396021
129,khokhlovo,59.1492,37.3998,-1.99,87,98,4.65,RU,1676396022
130,khani,41.9563,42.9566,-3.24,82,88,2.23,GE,1676396022
131,amot,59.5714,7.9877,-2.91,82,89,2.08,NO,1676396022
132,vaini,-21.2,-175.2,27.24,80,100,5.25,TO,1676396022
133,wagar,16.1525,36.2032,28.85,35,38,6.78,SD,1676396022
134,portland,45.5234,-122.6762,3.38,95,75,2.06,US,1676396022
135,cherskiy,68.75,161.3,-43.56,100,54,0.7,RU,1676395822
136,bombo,-8.6131,119.0131,24.54,90,99,1.88,ID,1676396022
137,broken hill,-31.95,141.4333,19.9,31,0,2.84,AU,1676396023
138,baturaja,-4.1333,104.1667,23.0,88,99,0.92,ID,1676396023
139,tarakan,3.3,117.6333,25.66,81,100,2.09,ID,1676396023
140,coruripe,-10.1256,-36.1756,29.79,57,82,6.0,BR,1676396023
141,saint anthony,45.0205,-93.218,4.51,84,100,5.66,US,1676396023
142,buraydah,26.326,43.975,12.25,39,35,5.68,SA,1676396002
143,airai,-8.9266,125.4092,16.25,96,100,0.83,TL,1676396023
144,decatur,39.8403,-88.9548,10.07,71,75,6.17,US,1676396023
145,ahuimanu,21.4447,-157.8378,22.84,83,40,5.14,US,1676396023
146,kaitangata,-46.2817,169.8464,11.93,95,94,2.19,NZ,1676396023
147,port elizabeth,-33.918,25.5701,25.05,88,75,4.12,ZA,1676396023
148,poltavka,54.3663,71.7632,-20.95,96,12,3.26,RU,1676396024
149,kibala,9.1104,18.3463,32.97,11,0,2.06,TD,1676396024
150,ostrovnoy,68.0531,39.5131,-8.63,86,100,2.19,RU,1676396024
151,bredasdorp,-34.5322,20.0403,21.39,76,88,4.24,ZA,1676395849
152,tuatapere,-46.1333,167.6833,14.17,90,91,0.25,NZ,1676396024
153,alugan,12.2188,125.4808,25.67,85,89,7.36,PH,1676396024
154,chokwe,-24.5333,32.9833,25.46,86,47,3.66,MZ,1676396024
155,ormara,25.2088,64.6357,22.29,80,2,4.51,PK,1676396025
156,poum,-20.2333,164.0167,25.18,67,15,1.93,NC,1676396025
157,atuona,-9.8,-139.0333,25.92,79,17,7.95,PF,1676396025
